article_title,article_body,article_url,article_headline,article_author
States report card,"Home ownership is falling quickly among Australia’s young and poor, a new study has found. People are waiting longer for medical treatments in most states. Wholesale electricity prices have increased significantly over the past few years while Australia is not on target to reach its emissions commitments.",https://www.theguardian.com/australia-news/2018/oct/28/home-ownership-plummeting-among-australias-young-and-poor-report-finds,"Home ownership plummeting among Australia's young and poor, study finds",Gareth Hutchens
NFL,Four ,https://www.theguardian.com/sport/2018/oct/27/jaguars-players-detained-eagles-game-nfl-nightclub,"Jacksonville Jaguars players arrested in London over unpaid £50,000 drinks bill",Guardian sport
Premier League,"This was Manchester United’s best display so far this season and a second win in eight matches was much needed. While there was another concerning error from Paul Pogba, which led to Everton’s consolation, there were further spells of the quick and slick play United are showing more of as the season enters autumn.",https://www.theguardian.com/football/2018/oct/28/manchester-united-everton-premier-league-match-report,Anthony Martial dazzles to help Manchester United edge past Everton,Jamie Jackson
Kathleen Zellner,"athleen Zellner did not wait to be asked. “The blood spatter was really suspicious,” volunteered the Chicago lawyer who specialises in getting the innocent out of prison – predicting a question about when, as she watched the Netflix global phenomenon ",https://www.theguardian.com/global/2018/oct/28/meet-kathleen-zellner-the-making-a-murderer-lawyer-you-want-on-your-side,The Making A Murderer lawyer you want on your side,
Terror in focus,"n 1920, ",https://www.theguardian.com/artanddesign/2018/oct/28/roman-vishniac-rediscovered-photographer-nazism,The photographer who captured the rise of Nazism,Sean O'Hagan
La Liga," have now won just once in six games – and if this is to be the end for Julen Lopetegui, it was a painful one, leaving his team in ninth place, seven points behind Barcelona. Nor was it just the scoreline; it was the sensations too. In the first 45 minutes here, Madrid simply didn’t exist – they were, put bluntly, awful. Simply not there. And while they did react in the second half, while they made a game of this, while they rebelled, it was insufficient. Lionel Messi was not there, but Suárez was. He had feared that the chance had gone, and them took charge of ensuring it hadn’t, adding two more goals to go with his first-half penalty – both of them superb.",https://www.theguardian.com/football/2018/oct/28/barcelona-real-madrid-la-liga-match-report,Luis Suárez hits hat-trick as Barcelona demolish insipid Real Madrid,Sid Lowe
Rugby union,With almost religious fervour Michael Cheika implored long-suffering Walllabies supporters to “believe in advance” as they stumbled towards the World Cup in Japan next year.,https://www.theguardian.com/sport/2018/oct/29/cheikas-call-for-belief-falls-on-deaf-ears-while-wallabies-repeat-mistakes,Cheika's call for belief falls on deaf ears while Wallabies repeat mistakes,Bret Harris
,"s the day wore on and the nightmare started to feel real, the crowd outside the King Power Stadium continued to grow. The air was heavy with tragedy and the floral tributes lying by the North Stand fluttered in a biting breeze, but the people kept coming. They watched in silence, numb with shock, and ignored the cold as they pulled their loved ones that bit closer and concentrated on representing a grieving community with dignity and pride.",https://www.theguardian.com/football/2018/oct/28/leicester-mourns-vichai-srivaddhanaprabha-helicopter-crash,Leicester mourns the man who made impossible dreams come true,Jacob Steinberg
A-League,"Revolution is simple in club football. Results not going to plan – sack the coach. Striker not finding the back of the net – buy a replacement. By contrast, evolution is uncommonly difficult.",https://www.theguardian.com/football/2018/oct/29/evolution-not-revolution-the-formula-for-a-league-success-in-sydney,Evolution not revolution the formula for success in Sydney,Jonathan Howcroft
Live,,https://www.theguardian.com/sport/live/2018/oct/28/lewis-hamilton-bids-for-f1-title-glory-mexico-grand-prix-live,Lewis Hamilton bids for F1 title glory: Mexico Grand Prix,Michael Butler
‘Edge of the knife’,aureen Osiecki remembers the shock of Donald Trump winning ,https://www.theguardian.com/us-news/2018/oct/28/donald-trump-midterms-elections-pipe-bombs-democrats-republicans,Trump drags divided states of America towards his midterms reckoning,David Smith
Bob Dylan,"n 16 September, 1974, Bob Dylan entered A&R recording studios in New York to begin work on his 15th studio album. He was 33 years old, his marriage was on the rocks and, despite a successful comeback tour that same year, his reputation rested solely on the epochal songs he had produced a decade previously. Having so defined the 1960s, Dylan had become an increasingly marginalised figure ",https://www.theguardian.com/music/2018/oct/28/bob-dylan-more-blood-more-tracks-raw-painful-birth,"The raw, painful birth of Blood on the Tracks",Sean O'Hagan
End game,arlier this year the hands of the Doomsday Clock moved to ,https://www.theguardian.com/society/2018/oct/29/end-game-how-australian-preppers-are-bugging-out-and-hunkering-down,How Australian preppers are bugging out and hunkering down,Sarah Szabo
,"In a grim political season, there are signs that journalists are successfully challenging at least one odious tyrant.",https://www.theguardian.com/technology/2018/oct/29/were-winning-the-war-on-word-fellow-writers-enjoy-the-freedom,"We're winning the war on Word, fellow writers. Enjoy the freedom",
Linda Jackson,"rtist and designer Linda Jackson helped establish a distinctly Australian fashion aesthetic. She’s known for her colourful prints created with Jenny Kee in the 70s and her Bush Couture label in the 80s, and her work is held by the National Gallery of Australia, Powerhouse Museum and National Gallery of Victoria, among others. These days, she’s often named as an influence on young ",https://www.theguardian.com/fashion/2018/oct/29/linda-jackson-when-i-was-young-i-wanted-to-be-everything,"When I was young, I wanted to be everything",
Best photographs of the day,,https://www.theguardian.com/news/gallery/2018/oct/28/rough-seas-rock-music-and-rowers-sundays-best-photos,"Rough seas, rock music and rowers",
Recipes,"f all the small, edible rituals that season the day – late morning coffee and cake; green tea and fruit in the afternoon; plain, unsullied goat’s yogurt at dawn – there are few I enjoy more than our working breakfasts. Shopping done. Oven on. Camera primed. Notebooks at the ready. We then sit down to that first meal. There might be mushrooms on toast, Cumberland sausages from Mr Godfrey or cheese sandwiches, their filling dripping out on to the grill, sending out a ribbon of savoury smoke to set off the fire alarm.",https://www.theguardian.com/food/2018/oct/28/nigel-slater-beetroot-and-spiced-banana-ketchup-recipes,Nigel Slater’s beetroot and spiced banana ketchup,Nigel Slater
,"e’re four episodes into the third season of The Good Place, the brilliant US sitcom which started off being based around four recently deceased people in the afterlife and is now … um, what is it about now? Friendship, or something? It’s still good.",https://www.theguardian.com/tv-and-radio/2018/oct/28/the-good-places-australian-accents-are-bad-but-maybe-thats-the-joke,The Good Place's Australian accents are bad. But maybe that's the joke?,
,f you’re a keen photographer (which this columnist is) one of the things you prize most is a strange property called bokeh. It’s the aesthetic quality of the blur produced in the parts of an image that are not of central interest – the way a lens renders out-of-focus points of light. You often see it in great portraits: the subject’s eyes are razor-sharp but the – potentially distracting – background is fuzzy.,https://www.theguardian.com/commentisfree/2018/oct/28/has-apple-given-its-iphone-xs-camera-worthy-of-its-name,Has Apple finally given its super-fast iPhone a camera worthy of the name?,
Technology,"n September, a group of people searching for work in the US filed charges against ",https://www.theguardian.com/technology/2018/oct/28/how-target-ads-threaten-the-internet-giants-facebook,How targeted ads may topple the tech giants,Martin Moore
Recipe,"very time we visit our friends Andrew and Kerry’s place, over the river from our old farm, there is always something new to try. A new wine, or fermented treat, some sweet thing, or jam, or sauce, or soup, or freshly harvested fruit or nuts. It’s the best!",https://www.theguardian.com/food/2018/oct/28/broken-cake-with-natural-cherry-syrup-fruit-and-cream-recipe,"Broken cake with natural cherry syrup, fruit and cream",
Analysis,It was the ,https://www.theguardian.com/us-news/2018/oct/28/rising-antisemitism-worldwide-boils-over-at-pittsburgh-synagogue,Rising antisemitism worldwide boils over at Pittsburgh synagogue,Harriet Sherwood
Sicily,"t the same time every afternoon, while seated on the same bench, my father-in-law, Rosario Buttaci, silently watches John Babalola Wale and his family climb the steep walkway in the village of Sutera that leads from Piazza Europa to the old Arab quarter of Rabato.",https://www.theguardian.com/world/2018/oct/27/how-refugees-are-breathing-new-life-into-dying-italian-village,What happened when migrants moved into my family’s village,
Land of plenty,"f you venture out on to the cobbled streets of Acqui Terme between the hours of one and three in the afternoon, you’d be forgiven for thinking the town had been evacuated due to some dreadful contagious disease. The Roman spa town is unnervingly still, the only sound coming from the sulphur spring that gushes out of a fountain in the piazza in little puffs of steam, exuding the faintest whiff of rotten eggs. The town folk have not been wiped out by an unprecedented bout of bubonic plague. They are, in fact, eating lunch. And lunch is not an activity the Piedmontese take lightly. Here at the foot of the Alps, where Italy kisses France and Switzerland, meal times wait for no one.",https://www.theguardian.com/travel/2018/oct/28/land-of-plenty-harvest-in-piedmont-italy-wine-nutella,"Harvest time in Piedmont, Italy",Juliana Piskorz
The joy of socks,eamus Heaney was a schoolboy when he first encountered TS Eliot’s ,https://www.theguardian.com/global/2018/oct/28/the-joy-of-socks-one-mans-love-of-socks-seamas-oreilly,"Comfort, beauty – and strange internet searches",Séamas O’Reilly
Dear Mariella," My father believes the world is going to end. He’s bought a house in the most isolated part of Ireland he could find, without consulting my mother. He now intends to live there and await the apocalypse, which he thinks will soon engulf the rest of the world. He’s trying to force her to go with him. I’ve seen how he uses conspiracy theories almost as a form of emotional abuse, verbally haranguing her until she agrees with anything he says, and now I’m afraid he’s trying to isolate her from the rest of the world. I know she really doesn’t want to live there, but I don’t know how to broach the subject with either of them. ",https://www.theguardian.com/lifeandstyle/2018/oct/28/my-father-believes-the-world-is-ending-and-is-abusive-to-my-mother,My father believes the world is ending – and is abusive to my mother,Mariella Frostrup
This boy’s life,"i,” shouts ",https://www.theguardian.com/global/2018/oct/28/this-boys-life-the-fabulous-return-of-boy-george,The fabulous return of Boy George,
A life in pictures,,https://www.theguardian.com/media/gallery/2018/oct/26/photojournalist-steve-mccurry-a-life-in-pictures,Photographer Steve McCurry,
Be very afraid,If you look at the original American poster for Dario Argento’s ,https://www.theguardian.com/film/2018/oct/28/from-rosemarys-baby-to-suspiria-five-directors-on-cinemas-scariest-moments,"From Rosemary's Baby to Suspiria, five directors on cinema's scariest moments",Killian Fox
Hannah Gadsby,"Early in 2018, ",https://www.theguardian.com/stage/2018/oct/27/hannah-gadsby-im-still-struggling-with-how-americans-make-tea,'I’m still struggling with how Americans make tea',
Richard Gill,"It can be difficult to get world-famous musicians together at the same place and time, but renowned performers quickly gathered outside the Sydney home of internationally beloved conductor and music educator Richard Gill.",https://www.theguardian.com/music/2018/oct/28/richard-gill-world-renowned-conductor-and-music-educator-dies-age-76,World-renowned Australian conductor and music educator dies age 76,Melissa Davey
Fortnite,The company behind the ,https://www.theguardian.com/games/2018/oct/28/fortnite-company-epic-games-valued-15bn,Epic Games valued at nearly $15bn after cash boost,Rupert Neate
The roots of our current anxieties,n a ,https://www.theguardian.com/books/2018/oct/28/nervous-states-how-feeling-took-over-the-world-william-davies-review,Nervous States: How Feeling Took Over the World review,Suzanne Moore
Black Eyed Peas review,"ast time the Black Eyed Peas played London, ",https://www.theguardian.com/music/2018/oct/28/black-eyed-peas-review-pop-air-punchers-rediscover-their-conscious-hip-hop-roots,Pop air-punchers revisit conscious hip-hop roots,Caroline Sullivan
In pictures,,https://www.theguardian.com/world/gallery/2018/oct/27/the-coming-back-out-ball-in-pictures,The Coming Back Out Ball,
Pittsburgh shooting,,https://www.theguardian.com/us-news/video/2018/oct/27/trump-says-synagogue-should-have-had-protection-calls-for-tougher-death-penalty-laws-video,"Trump says synagogue should have had protection, calls for tougher death penalty laws",
Barack Obama,,https://www.theguardian.com/us-news/video/2018/oct/27/barack-obama-trump-and-other-republicans-just-making-stuff-up-video,Trump and other Republicans 'just making stuff up',
Vichai Srivaddhanaprabha,,https://www.theguardian.com/football/video/2018/oct/27/leicester-city-owners-helicopter-engulfed-in-flames-after-crash-video,Leicester City owner's helicopter engulfed in flames after crash,
